	score_id	beatmap_id	count100	count300	count50	countmiss	date	enabled_mods	maxcombo	pp	rank	score
64	2978056814	1586946	4	188	1	0	1578575418000	576	332	43.302	"""S"""	1832309
65	2978057565	1690354	6	200	0	0	1578575504000	576	346	43.2213	"""S"""	1972845
66	2978059457	1849944	5	166	0	0	1578575721000	576	308	42.9792	"""S"""	1461864
67	2978411117	650735	2	173	0	0	1578610832000	576	332	41.4935	"""S"""	1654800
68	2978413608	1023765	2	161	0	0	1578611150000	576	307	44.6397	"""S"""	1069851
69	2978417235	1474945	2	173	0	0	1578611619000	576	297	48.6338	"""S"""	1097737
70	2978664939	1500995	4	157	0	0	1578652845000	592	309	38.9793	"""S"""	1516267
71	2979515171	1480369	15	163	1	0	1578746097000	64	309	40.5725	"""S"""	1465532
72	2979518213	1725348	10	446	0	0	1578746379000	64	822	53.364	"""S"""	10140203
73	2979520728	2019427	15	154	1	0	1578746612000	64	291	42.5965	"""S"""	967833
74	2979522252	1498876	5	161	1	0	1578746749000	64	383	42.2298	"""S"""	1348347
75	2980383547	1377360	4	177	0	0	1578835039000	64	350	37.9238	"""S"""	1745789
76	2980385317	1486443	0	157	0	0	1578835195000	64	309	44.8943	"""X"""	1035369
77	2980386645	1879800	10	197	0	0	1578835320000	64	342	46.9248	"""S"""	1924956
78	2983104126	1789173	10	464	0	0	1579196603000	64	860	40.0612	"""S"""	11232145
79	2983585339	549709	2	191	0	0	1579265711000	64	345	42.3441	"""S"""	1411987
80	2983591035	1905136	33	317	0	0	1579266341000	80	544	38.1602	"""S"""	3851775
81	2983592858	1794351	4	142	0	0	1579266536000	80	259	38.2147	"""S"""	857011
82	3021621178	1357769	12	186	2	0	1583942077000	64	373	37.8674	"""S"""	1470879
83	3058529727	1763073	4	159	0	0	1587314702000	64	304	41.3948	"""S"""	1057514
84	3059366216	1443639	3	144	0	0	1587387049000	64	291	43.1948	"""S"""	1208433
85	3059732373	1605112	6	245	0	0	1587410927000	64	439	47.5038	"""S"""	3035734
86	3059757034	965547	3	166	0	0	1587412555000	64	324	39.8964	"""S"""	1616279
87	3060352093	2149817	6	201	0	0	1587467481000	64	336	40.4615	"""S"""	1444304
88	3060415899	900056	4	269	0	0	1587472172000	64	537	39.7217	"""S"""	3086258
89	3060898840	1282696	26	277	2	0	1587503227000	0	542	40.0465	"""S"""	3739938
90	3060903951	1081009	22	382	0	0	1587503608000	0	761	43.9438	"""S"""	7261430
91	3061475826	515522	2	58	0	0	1587556726000	64	72	38.0145	"""S"""	123145
92	3061482236	1354930	1	241	0	0	1587557193000	64	422	60.6853	"""S"""	2875006
93	3061586816	2014468	20	224	1	0	1587564234000	0	399	39.6923	"""S"""	2347992
94	3062694661	1270797	12	229	2	0	1587652605000	0	425	46.9934	"""S"""	2455910
95	3063700715	2190996	23	489	1	0	1587732820000	0	874	43.8055	"""S"""	10660838
96	3063711461	1456572	13	90	0	0	1587733494000	0	176	39.8311	"""A"""	438842
97	3063713897	1201330	9	243	1	0	1587733654000	0	439	50.3699	"""S"""	2717348
98	3065054286	1455782	0	67	0	0	1587832263000	80	132	65.0401	"""X"""	222034
99	3081986349	2150734	3	93	0	0	1589141037000	0	160	41.0203	"""S"""	379830
